Districts,Assault on Women with Intent to Outrage her Modesty - Incidents (I),Assault on Women with Intent to Outrage her Modesty - Victims (V),Assault on Women with Intent to Outrage her Modesty - R (Crime Rate),Assault on Women - I,Assault on Women - V,Assault on Women - R,Sexual Harrassment Total - I,Sexual Harrassment Total - V,Sexual Harrassment Total - R,SH At work/premises - I,SH At work/premises - V,SH At work/premises - R,SH in Public transport - I,SH in Public transport - V,SH in Public transport - R,SH in shelter homes for women and children - I,SH in shelter homes for women and children - V,SH in shelter homes for women and children - R,SH in Other places - I,SH in Other places - V,SH in Other places - R,"Assault or use of Criminal
Force on women with intent
to Disrobe (Sec.354B IPC) - I","Assault or use of Criminal
Force on women with intent
to Disrobe (Sec.354B IPC) - V","Assault or use of Criminal
Force on women with intent
to Disrobe (Sec.354B IPC) - R",Voyeurism - I,Voyeurism - V,Voyeurism - R,Stalking - I,Stalking - V,Stalking - R,Rape (Sec 376) - I,Rape - V,Rape - R,Attempt to Commit Rape (Sec.376/511) - I,Attempt to Commit Rape - V,Attempt to Commit Rape - R
Bagalkot,195,242,17.7,71,76,6.4,1,1,0.1,0,0,0,0,0,0,0,0,0,1,1,0.1,120,162,10.9,1,1,0.1,2,2,0.2,8,8,0.7,0,0,0
Bengaluru City,1163,1168,15.7,731,736,9.9,210,210,2.8,15,15,0.2,9,9,0.1,1,1,0,185,185,2.5,70,70,0.9,28,28,0.4,124,124,1.7,169,170,2.3,4,5,0.1
Bengaluru District,201,302,34.8,155,242,26.8,17,24,2.9,1,1,0.2,0,0,0,1,1,0.2,15,22,2.6,21,28,3.6,1,1,0.2,7,7,1.2,31,31,5.4,0,0,0
Belagavi District,293,301,16,210,214,11.5,12,14,0.7,0,0,0,0,0,0,0,0,0,12,14,0.7,70,72,3.8,0,0,0,1,1,0.1,28,29,1.5,0,0,0
Ballari,65,85,7.3,10,17,1.1,18,19,2,0,0,0,0,0,0,0,0,0,18,19,2,36,48,4,0,0,0,1,1,0.1,13,13,1.5,0,0,0
Bidar,64,67,6.6,60,63,6.2,3,3,0.3,0,0,0,0,0,0,0,0,0,3,3,0.3,0,0,0,0,0,0,1,1,0.1,4,4,0.4,1,1,0.1
Vijayapura,169,274,12.7,142,247,10.7,8,8,0.6,0,0,0,0,0,0,0,0,0,8,8,0.6,17,17,1.3,0,0,0,2,2,0.2,23,23,1.7,0,0,0
Chikkaballapura,115,127,16.7,39,46,5.7,5,7,0.7,0,0,0,0,0,0,0,0,0,5,7,0.7,64,65,9.3,0,0,0,7,9,1,10,10,1.5,0,0,0
Chamarajnagar,185,308,34,86,152,15.8,11,13,2,1,1,0.2,0,0,0,1,1,0.2,9,11,1.7,84,137,15.4,4,6,0.7,0,0,0,3,3,0.6,0,0,0
Chikkamagaluru,223,225,0,168,170,0,10,10,0,0,0,0,0,0,0,2,2,0,8,8,0,38,38,0,0,0,0,7,7,0,8,8,0,0,0,0
